,URL,Title
20,https://www.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0DhVAxkc_TxySVbUOs6bxWYWOfhmDTNcVTjFFBAY1FXZ6rmYsZujmIEQke-zlLvTggEpEABYX6NLRmad1WaSgfx6q_VUeLe3TIhTQ2uxeL5zfT-1GKkfAruCnE2jY4w7Uy04fSCxMZ8TWgXRmSZ2_Fn8OidtG3AoOjQoOaVRo2BKdBOHVRbaS8czFcyAphQcuSvatUk2A3HkiEwApu89DYkoM_Pv6LyC6_wqweFHcf5814OlFSXa3sjwxwsIPL0ttHzSGJITanNQzqDTAq7eHlCygRmcJlJ8ouL6JcJ0bn1nWtI0KYILpqf-QHJNNcZhZdNfD-Rz0c_dX0qE1m97ZSH7OZJI1HMazXBV1MhF0onhY5r8fJj_mqKTqUeS2StB4IvFvQoDZyN2O0kiLvyCla5DsGQtZb4NpA-qUE1JG5x61faVhsCVuc0s5wYhhVGx4GF0GV9YqiZ98e8nODK__KV7_eHFBXEd4LYVLlKTY9-Ilv9l_LbAmF3AFONbzqSEfppZ1G-Uh-sXKNIX-oHsaQU&p=2&fvj=1&vjs=3,Swift Developer
21,https://www.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0DhVAxkc_TxySVbUOs6bxWYWOfhmDTNcVTjFFBAY1FXZ6rmYsZujmIEQke-zlLvTgj-Y1_hoc6q4RcreOfeCVrKzWl4_mRWuE-ZzYYzx1VUZfWxXkZ-3yDJiNvIU9leb9Q15Cyv3oy9Dw9Ukd2fyzVrsYKmVdC1q_BNeWJ1XWWiRmdZfSGFDeKpj5tHvrgjGOhfriC83uE_BevKyuH7l6dZoQwYmGtmYNzjdCjymT_YQn9yT8I2ikUzgefkugZ9jN_E2YHJD1QnHg6WJhqyXL865FBOFqgsBNkW55hw8TEyczbkRpKA_aiA9HH9FliZoFm5SpwXtNJrPo0BanP1PMYj7_P0Bm458troYnb_jCwqWGqL2GKY6Osm6WbDRO2pR2xQD07sOPVxC0xdpv7MkSFK74GtQOej-OWoNRKjCa6oIy1_6GhXNf1u0oKaPQXy-lwOjTFnH12wYvbO-MmTyzi-KyZH5iU19Mvsge_9vpVGj35zf17H6cLNE2FAeC-tuhisVHlWqaV2Y5dLVVhIOGx8N9OHA-TzrJU-9olo-tGZzxnLDuaPQdcLzx-Izv-CxiE=&p=3&fvj=1&vjs=3,Back End Developer
22,https://www.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0DhVAxkc_TxySVbUOs6bxWYWOfhmDTNcVTjFFBAY1FXZ6rmYsZujmIEQke-zlLvTghN3_3WA_XG5RvJVNqyEBbin3j2USXfeQ-1DuWJYmNlHF-HQbbBjo1ANTAJmy8SdJ_-tFdLhc5DFnGNRwS3TvWlzAwSfMCpjnnlbBPfg6RUo5cHekLI7KRPFRAQRsVsdWFTPFaDoFRcFhEKoIqbbV-hbL2d-L06CsjgZl7rBr_QKbP7TvLDFpPKeLB5L9apEulOX1zy-Ic65rgF_Dnl5HC6JB-plepdpFUWS05oyO51mpqy4j641QozrPZ4VvKbFWd0i1BFEHOAppQN8DltxpqD5qzl9g3pMUV_8ivonq-zGxe_PpBN63HN_dI0x0tQaNwf_cL-rmHWz9XQsQovt-gl0PjTJvwsA_gUvWRg31oD8bl6xf_kCGbvDk8bIhdDO0534cw0ItXrTVS3fSr6KymDpnQIFrCiMMIqQ3TUgO6Chbvaa3g2V72Nc7hG9c8XC-x8A0jsEo6rkVfDvU9eDkAa&p=4&fvj=1&vjs=3,Python Developer
23,https://www.indeed.com//rc/clk?jk=cf3aa8d0e125ea7c&fccid=58bb2c0ff7e8be5c&vjs=3,PHP Developer
24,https://www.indeed.com//rc/clk?jk=bfca671c56ed4f2b&fccid=4bb4a98ffe880354&vjs=3,DSHS IT Application Developer
25,https://www.indeed.com//rc/clk?jk=9833cc8f2c64e96e&fccid=de3602e7105e2273&vjs=3,Entry Level Cloud Infrastructure Developer
26,https://www.indeed.com//rc/clk?jk=e685a45f3a65843f&fccid=cbac1f5c741890b5&vjs=3,"Associate Developer, Software"
27,https://www.indeed.com//company/BNY-Mellon/jobs/Senior-Developer-878a464302b388c3?fccid=b4048be2884af072&vjs=3,Sr. Developer
28,https://www.indeed.com//rc/clk?jk=74d69b05a243a3c1&fccid=95e5deb08c53f15c&vjs=3,Web Technology Developer
29,https://www.indeed.com//company/Hecate-Software/jobs/Software-Application-Engineer-a3168d4047a409b2?fccid=029ccf65c3925420&vjs=3,Software Application Engineer
30,https://www.indeed.com//rc/clk?jk=ff08c59c6287d479&fccid=98100021be4bb463&vjs=3,Digital App Developer
31,https://www.indeed.com//company/eventcore/jobs/Associate-Solution-Developer-b146e72d8f609fad?fccid=7629e1b75a7e7b20&vjs=3,Associate Solution Developer
32,https://www.indeed.com//rc/clk?jk=a36ffd3a8d1ba734&fccid=4f662981ac587a21&vjs=3,Web Developer
33,https://www.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0AHN9aqJ2qbJXdGu5Dm6PLKkxA75kNiuN1i86_TbvpuNpJiX7tJnETdhkWVSX1l3yqSeSer567Gn_VRd8jGh_nx9pJE6vHWmC2FjeZEEKyo258Uze4NYhvZyXvCnCkScbZUUPVIndvnzR0XPUvz3R6hDoLPsWlLtzNdI6q1E1FgSD4vsoGBvabwqnc5uMSuyt4dPp6Ekwcd4J6v07WxmuTV8tPPQb4d8Q54Uvw5N7gstlDVGKsuMvydPycksHMjcjqukZfuAL8nJERvlaArzhC0wPaUZkOA0FQFJMthyY6qu1bQrTxmZ97vAPcrVPIG_WE23Ooa5gGJYQleTuaduroyu1lfuLsnVNJ3b70tRQ89gaaJIXe9YrGRNEjZpqBLt2wV92vmtPCjN4MeeRLYv-9qxL55c3niwk_Qjqw6h3WYNecactCX7_22&p=15&fvj=1&vjs=3,Marketing Analyst/Developer
34,https://www.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0DVRhBzHv6scLIxngqcVF4AoHmhvRmECp-DwdmPrw5G_Aks-yhzTohPrJZlnkd8JLaoc2kVhJDaDCnh9w1JqINpPW3jL-YY2EC_PQXMAmvlUt7M5KqZgjhOAU_tsqFFz94D-LBpXNwfOCMqGqwgxfOegOAp0xL8oPS7RR03GMxHiPvuuZ6IqBaJvjFBMNCm10EmXiVk06GlXY789aWX9DiKmGSfA1aUeeC20jlnSe5J5ydM_gunSIBXVgCw6qaWKF0oZD6Zrl2ja09aLIZGjAuB213PWBMWpk48I3YhorgtRXhgDiaAdc5Mrqba8xOsD-wPntpjXb5Gr7y7DG5R49gq5JHeIalvLCEx8iwhDxpUbfay7wTKUuWpO_gJW0xYZJtZA1ldWt8E59VaE4fq9SD3PVnhRANnsxSdYsbiKtlBVQ==&p=16&fvj=1&vjs=3,IPS Job Developer
